cargo;inscricao;Q1;NFDiscur
AN06;1001441;18,500;18,500
AN06;1008523;11,000;11,000
AN06;1006279;9,000;9,000
AN06;1000143;0,500;0,500
AN06;1007456;17,500;17,500
AN07;1001881;7,000;7,000
AN07;1011384;4,000;4,000
AN07;1011952;15,000;15,000
AN07;1005731;8,000;8,000
AN07;1001956;18,000;18,000
AN07;1014837;11,000;11,000
AN07;1007974;3,000;3,000
AN07;1001587;19,000;19,000
AN07;1003602;9,000;9,000
AN07;1011438;1,000;1,000
AN07;1009833;3,000;3,000
AN07;1011831;11,500;11,500
AN07;1002911;10,000;10,000
AN07;1003492;2,000;2,000
AN07;1003763;4,000;4,000
AN07;1009236;8,000;8,000
AN07;1008323;8,000;8,000
AN07;1003070;5,500;5,500
AN07;1013897;15,000;15,000
AN07;1007595;11,000;11,000
AN07;1008200;20,500;20,500
AN07;1009042;15,000;15,000
AN08;1006117;22,000;22,000
AN08;1010052;9,000;9,000
AN08;1014475;6,000;6,000
AN08;1014135;12,000;12,000
AN08;1001507;17,000;17,000
AN08;1011977;7,000;7,000
AN08;1008739;22,000;22,000
AN08;1011883;10,000;10,000
AN08;1004945;11,500;11,500
AN08;1006297;7,000;7,000
AN08;1003759;12,000;12,000
AN08;1002820;15,000;15,000
AN08;1013130;19,000;19,000
AN08;1011349;17,000;17,000
AN08;1011169;21,000;21,000
AN08;1001958;6,000;6,000
AN08;1014125;16,000;16,000
AN08;1003928;5,000;5,000
AN08;1011327;12,000;12,000
AN08;1011991;11,000;11,000
AN08;1006897;15,000;15,000
AN08;1014734;4,000;4,000
AN08;1013820;9,000;9,000
AN08;1004485;10,000;10,000
AN08;1014890;17,000;17,000
AN08;1001078;11,000;11,000
AN08;1008854;9,500;9,500
AN08;1004357;19,000;19,000
AN08;1001129;18,500;18,500
AN08;1004953;15,000;15,000
AN08;1001281;12,000;12,000
AN08;1013102;6,000;6,000
AN08;1006836;2,000;2,000
AN08;1013385;12,000;12,000
AN08;1013882;15,000;15,000
AN08;1011937;23,000;23,000
AN08;1007922;20,000;20,000
AN08;1013874;10,000;10,000
AN08;1013520;13,000;13,000
AN08;1007562;4,000;4,000
AN08;1010734;19,000;19,000
AN08;1002997;6,000;6,000
AN08;1011417;13,000;13,000
AN08;1010251;19,000;19,000
AN08;1002672;15,000;15,000
AN08;1007748;1,000;1,000
AN08;1005945;6,000;6,000
AN08;1011366;7,000;7,000
AN08;1014072;9,000;9,000
AN08;1005326;18,000;18,000
AN08;1004188;10,500;10,500
AN08;1001170;10,000;10,000
AN08;1010912;15,000;15,000
AN08;1009093;16,500;16,500
AN08;1000832;12,000;12,000
AN08;1003673;11,000;11,000
AN08;1011294;0,500;0,500
AN08;1001141;13,000;13,000
AN08;1005829;4,000;4,000
AN08;1005434;17,000;17,000
AN08;1006879;6,000;6,000
AN08;1002695;17,000;17,000
AN08;1009121;11,000;11,000
AN08;1001696;9,000;9,000
AN08;1007952;10,000;10,000
AN08;1014676;15,000;15,000
AN09;1009284;8,000;8,000
AN09;1001983;11,000;11,000
AN09;1002886;10,000;10,000
AN09;1009078;15,000;15,000
AN09;1002631;18,500;18,500
AN09;1012667;15,000;15,000
AN09;1002112;11,000;11,000
AN09;1006188;6,000;6,000
AN09;1002964;19,000;19,000
AN09;1010477;13,000;13,000
AN09;1009208;7,000;7,000
AN09;1001219;12,000;12,000
AN09;1000053;9,000;9,000
AN09;1012903;11,000;11,000
AN09;1013477;18,000;18,000
AN09;1007266;10,000;10,000
AN09;1002201;5,000;5,000
AN09;1002249;12,000;12,000
AN09;1010845;6,000;6,000
AN09;1010270;11,000;11,000
AN09;1009167;12,000;12,000
AN09;1000246;19,500;19,500
AN09;1002734;3,000;3,000
AN09;1004763;20,000;20,000
AN09;1005959;15,000;15,000
AN09;1001151;17,000;17,000
AN09;1007571;17,000;17,000
AN09;1012264;16,000;16,000
AN09;1008977;15,000;15,000
AN09;1012367;3,000;3,000
